gu,bjd,apt_name_raw,lat,lng,subway_nearest_m,subway_count_500m,subway_count_1000m,subway_count_2000m,elem_school_nearest_m,elem_school_count_500m,elem_school_count_1000m,elem_school_count_2000m,middle_school_nearest_m,middle_school_count_500m,middle_school_count_1000m,middle_school_count_2000m,high_school_nearest_m,high_school_count_500m,high_school_count_1000m,high_school_count_2000m,childcare_nearest_m,childcare_count_500m,childcare_count_1000m,childcare_count_2000m,park_nearest_m,park_count_500m,park_count_1000m,park_count_2000m,park_within_1km,park_log1p_count_2km,library_nearest_m,library_count_500m,library_count_1000m,library_count_2000m,library_within_1km,library_log1p_count_2km,mart_nearest_m,mart_count_500m,mart_count_1000m,mart_count_2000m,department_nearest_m,department_count_500m,department_count_1000m,department_count_2000m,department_within_1km,department_log1p_count_2km,cctv_count_500m,cctv_count_1000m,cctv_count_2000m,hospital_nearest_m,hospital_count_500m,hospital_count_1000m,hospital_count_2000m,hospital_general_nearest_m,hospital_general_count_500m,hospital_general_count_1000m,hospital_general_count_2000m,academy_nearest_m,academy_count_500m,academy_count_1000m,academy_count_2000m
강남구,도곡동,도곡푸르지오,37.48773610225771,127.03291161371894,372.8,2,2,12,376.8,1,4,10,198.2,1,1,8,198.2,1,2,5,146.3,9,32,122,1107.2,0,0,2,0,1.0986122886681098,530.5,0,5,6,1,1.9459101490553132,473.1,1,6,22,2069.2,0,0,0,0,0.0,320,921,3644,34.3,30,42,45,508.3,0,1,2,116.9,81,361,1033
강남구,역삼동,정원,37.5044917653679,127.042501624737,503.4,0,6,24,655.2,0,2,10,565.4,0,1,12,565.4,0,1,9,263.9,6,28,126,1552.0,0,0,3,0,1.3862943611198906,1091.1,0,0,10,0,2.3978952727983707,776.7,0,2,20,1267.2,0,0,2,0,1.0986122886681098,293,1085,4607,544.4,0,6,39,2175.3,0,0,0,170.5,21,338,2330
강남구,도곡동,그랜빌캐슬,37.48875663471498,127.04480956701182,265.3,1,3,14,757.4,0,2,15,393.3,1,5,12,697.3,0,3,12,324.3,4,28,148,174.2,1,1,1,1,0.6931471805599453,525.5,0,1,8,1,2.1972245773362196,636.6,0,4,22,1179.2,0,0,1,0,0.6931471805599453,189,895,3928,583.5,0,24,44,730.3,0,1,1,239.9,37,188,2219
강남구,삼성동,시티(A동),37.510510978010686,127.04597850640076,176.2,2,7,18,323.1,1,2,9,464.8,1,2,8,935.1,0,1,7,217.0,6,31,124,920.3,0,1,4,1,1.6094379124341003,360.6,1,2,8,1,2.1972245773362196,646.1,0,4,16,1234.3,0,0,3,0,1.3862943611198906,305,1181,4527,171.3,8,25,45,2896.1,0,0,0,143.3,56,285,2055
강남구,논현동,논현빌라트,37.51878068244954,127.03750538963028,353.1,2,4,18,653.2,0,2,7,361.0,1,2,6,621.6,0,1,5,171.6,4,22,87,690.9,0,1,3,1,1.3862943611198906,169.4,1,3,5,1,1.791759469228055,557.0,0,4,10,1092.9,0,0,3,0,1.3862943611198906,248,1191,4192,233.5,8,27,45,3312.1,0,0,0,152.8,27,289,950
강남구,청담동,목화,37.528142007572974,127.04992179710725,832.2,0,1,10,420.8,1,1,9,454.4,1,1,10,534.4,0,2,5,275.9,4,13,98,790.1,0,1,5,1,1.791759469228055,343.6,1,1,6,1,1.9459101490553132,227.2,1,1,8,709.3,0,2,3,1,1.3862943611198906,222,688,3462,764.2,0,15,39,3077.5,0,0,0,62.5,12,67,590
강남구,역삼동,에스케이허브젠,37.49365893759802,127.03101559837168,436.9,1,3,15,148.2,1,4,11,572.4,0,3,8,688.2,0,1,6,258.4,6,32,122,1291.5,0,0,1,0,0.6931471805599453,276.4,3,5,6,1,1.9459101490553132,182.1,5,6,25,1998.3,0,0,1,0,0.6931471805599453,252,1164,3934,232.8,3,19,46,1105.4,0,0,2,75.3,165,490,1324
강남구,도곡동,울트라멤버스,37.487717913577576,127.04677073005858,85.7,1,3,13,784.5,0,4,16,350.2,1,5,11,631.5,0,2,12,494.3,1,25,141,326.7,1,1,1,1,0.6931471805599453,699.3,0,1,8,1,2.1972245773362196,478.8,1,4,24,1177.2,0,0,1,0,0.6931471805599453,179,876,3759,667.1,0,5,44,838.0,0,1,1,49.0,29,214,2228
강남구,역삼동,갤러리아트,37.494263989243734,127.043748765299,834.3,0,3,16,855.0,0,3,12,237.4,2,4,11,750.6,0,3,8,45.5,8,34,137,453.8,1,1,1,1,0.6931471805599453,789.2,0,2,6,1,1.9459101490553132,689.9,0,7,19,892.8,0,1,1,1,0.6931471805599453,227,841,4172,1007.6,0,0,50,1128.2,0,0,1,81.7,46,457,2377
강남구,청담동,청담파크빌,37.52234699163597,127.05148469383874,370.1,1,1,13,646.1,0,3,5,916.1,0,2,9,668.4,0,3,4,267.4,5,26,90,142.1,1,1,4,1,1.6094379124341003,361.4,1,2,5,1,1.791759469228055,499.1,1,3,7,1053.1,0,0,3,0,1.3862943611198906,292,1006,3352,298.7,13,24,45,3182.2,0,0,0,193.5,36,140,595
강남구,삼성동,삼성팰리스(71-16),37.51145318126863,127.04883955758484,428.4,3,8,16,248.8,1,2,8,403.5,1,1,9,932.3,0,1,7,207.7,10,33,118,647.2,0,1,4,1,1.6094379124341003,304.3,1,2,7,1,2.0794415416798357,569.8,0,4,13,1013.6,0,0,3,0,1.3862943611198906,313,1162,4187,102.6,5,27,45,3068.4,0,0,0,57.5,60,273,1961
강남구,역삼동,강남한솔,37.49281001933026,127.0377864043466,876.5,0,3,15,462.2,1,2,11,552.8,0,2,11,552.8,0,1,7,206.1,8,28,124,697.1,0,1,1,1,0.6931471805599453,488.9,1,4,6,1,1.9459101490553132,291.3,1,6,22,1442.8,0,0,1,0,0.6931471805599453,311,1070,4056,481.1,1,33,48,836.1,0,1,1,164.4,70,359,1820
강남구,청담동,청담8차상지리츠빌,37.5257071618834,127.04857281525,732.9,0,2,11,415.8,1,2,8,466.8,1,1,9,484.0,1,2,4,93.3,5,16,87,595.3,0,1,3,1,1.3862943611198906,93.2,1,2,5,1,1.791759469228055,317.8,1,2,7,641.8,0,2,3,1,1.3862943611198906,346,834,3345,504.1,0,27,44,3271.4,0,0,0,127.2,20,121,646
강남구,논현동,제이빌,37.51804892919325,127.0379393920849,290.5,2,4,19,640.7,0,3,7,420.6,1,2,7,632.1,0,1,6,110.3,6,28,89,780.2,0,1,3,1,1.3862943611198906,108.4,1,3,5,1,1.791759469228055,476.7,1,4,10,1157.4,0,0,3,0,1.3862943611198906,236,1178,4236,174.4,7,32,45,3388.4,0,0,0,64.7,34,273,999
강남구,역삼동,노블카운티,37.4925685298956,127.03784734503054,903.9,0,3,15,470.4,1,2,11,531.4,0,2,11,531.4,0,1,7,209.7,8,27,127,681.9,0,1,1,1,0.6931471805599453,482.2,1,4,6,1,1.9459101490553132,316.9,1,6,21,1446.5,0,0,1,0,0.6931471805599453,298,1074,4024,467.8,1,33,46,809.2,0,1,1,143.0,71,358,1807
강남구,신사동,신사파크빌B동,37.52042258961808,127.02649733095488,723.6,0,4,17,395.4,1,1,8,626.9,0,3,9,669.6,0,1,4,104.5,8,17,86,888.7,0,1,1,1,0.6931471805599453,733.5,0,1,5,1,1.791759469228055,335.4,1,3,12,777.5,0,1,3,1,1.3862943611198906,370,1075,3445,595.0,0,2,35,2423.0,0,0,0,44.5,166,466,896
강남구,역삼동,갤러리하우스,37.49443168375856,127.04345824439076,854.5,0,3,18,884.2,0,3,13,265.0,2,4,11,781.2,0,3,8,29.4,7,34,136,478.6,1,1,1,1,0.6931471805599453,791.5,0,2,6,1,1.9459101490553132,662.4,0,7,19,911.0,0,1,1,1,0.6931471805599453,231,847,4191,994.4,0,1,50,1133.2,0,0,1,70.8,48,437,2377
