school_name,school_type,gu,dong,address,address_detail,founded,lat,lng,geocode_source
서울인왕초등학교,초등학교,서대문구,홍제동,서울특별시 서대문구 세무서길 33-9,(홍제동/서울인왕초등학교),19621112,37.5902198832433,126.944804483066,addr
서울인헌초등학교,초등학교,관악구,봉천동,서울특별시 관악구 낙성대로 23,(봉천동),19791231,37.4767753536009,126.959875787277,addr
서울일본인학교,외국인학교,마포구,상암동,서울특별시 마포구 월드컵북로62길 11,/ 일본인학교 (상암동),19720508,37.5838115111814,126.884430988567,addr
서울일신초등학교,초등학교,성북구,종암동,서울특별시 성북구 월곡로 74,(종암동/서울일신초등학교),20000901,37.5989819527133,127.040219755884,addr
서울일원초등학교,초등학교,강남구,일원동,서울특별시 강남구 영동대로4길 20,(일원동/일원초등학교),19841010,37.4898127052732,127.076141940265,addr
서울자곡초등학교,초등학교,강남구,자곡동,서울특별시 강남구 자곡로 150,(자곡동),20140901,37.4720493601914,127.099482575625,addr
서울자양초등학교,초등학교,광진구,자양동,서울특별시 광진구 아차산로44길 26,(자양동),19451210,37.5368378891148,127.080107720459,addr
서울자운초등학교,초등학교,도봉구,창동,서울특별시 도봉구 마들로13길 166,/ 서울자운초등학교 (창동),19970105,37.6580556761129,127.047017564524,addr
서울잠동초등학교,초등학교,송파구,신천동,서울특별시 송파구 올림픽로35길 122,(신천동/ 잠동초등학교),19800929,37.518364083155,127.099997855402,addr
서울잠신초등학교,초등학교,송파구,잠실동,서울특별시 송파구 잠실로 32,/ 서울잠신초등학교 (잠실동),19810805,37.5141697474146,127.08797670792,addr
서울잠실초등학교,초등학교,송파구,신천동,서울특별시 송파구 올림픽로35길 20,(신천동/잠실초등학교),19751101,37.5201410422976,127.110799789543,addr
서울잠원초등학교,초등학교,서초구,반포동,서울특별시 서초구 신반포로16길 15-25,(반포동/ 잠원초등학교),19780830,37.5018590933365,126.9983875282,addr
서울잠일초등학교,초등학교,송파구,잠실동,서울특별시 송파구 올림픽로 95,/ 서울잠일초등학교 (잠실동),19760312,37.5147416618092,127.081636216984,addr
