BPLCNM,RDNWHLADDR,SITEWHLADDR,X,Y,UPTAENM
한국맥도날드(유) 신도림테크노점,"서울특별시 구로구 새말로 97, 1층 001,002,003호 (구로동, 신도림테크노마트)","서울특별시 구로구 구로동 3-25 신도림테크노마트 1층 001,002,003호 ",190232.524534335,444978.682746138,백화점
이마트신도림점 구이류코너,"서울특별시 구로구 새말로 97, 지하2층 (구로동, 신도림테크노마트)",서울특별시 구로구 구로동 3-25 이마트신도림점 지하2층 ,190232.524534335,444978.682746138,백화점
이마트신도림점 김밥코너,"서울특별시 구로구 새말로 97, 지하2층 (구로동, 신도림테크노마트)",서울특별시 구로구 구로동 3-25 이마트신도림점 지하2층 ,190232.524534335,444978.682746138,백화점
이마트신도림점 초밥코너,"서울특별시 구로구 새말로 97, 지하2층 (구로동, 신도림테크노마트)",서울특별시 구로구 구로동 3-25 이마트신도림점 지하2층 ,190232.524534335,444978.682746138,백화점
이마트신도림점 중화요리코너,"서울특별시 구로구 새말로 97, 지하2층 (구로동, 신도림테크노마트)",서울특별시 구로구 구로동 3-25 이마트 신도림점 지하2층 ,190232.524534335,444978.682746138,백화점
이마트신도림점 회코너,"서울특별시 구로구 새말로 97, 지하2층 (구로동, 신도림테크노마트)",서울특별시 구로구 구로동 3-25 이마트신도림점 지하2층 ,190232.524534335,444978.682746138,백화점
이마트신도림점 셀러드코너,"서울특별시 구로구 새말로 97, 지하2층 (구로동, 신도림테크노마트)",서울특별시 구로구 구로동 3-25 이마트신도림점 지하2층 ,190232.524534335,444978.682746138,백화점
이마트신도림점 통닭코너,"서울특별시 구로구 새말로 97, 지하2층 (구로동, 신도림테크노마트)",서울특별시 구로구 구로동 3-25 이마트신도림점 지하2층 ,190232.524534335,444978.682746138,백화점
홈플러스 주식회사 조리제안(신도림점),"서울특별시 구로구 경인로 661 (신도림동, 신도림1차 푸르지오 지하1층 홈플러스내)",서울특별시 구로구 신도림동 337 신도림1차 푸르지오 지하1층 홈플러스내 ,190005.132500398,445250.538868558,백화점
파티세리 뮤흐,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 식품관 일부호 (삼성동)",서울특별시 강남구 삼성동 159-7 현대백화점,205210.358779172,445154.42225208,백화점
주바른,"서울특별시 구로구 경인로 662, 지하 2층 (신도림동, 디큐브시티)",서울특별시 구로구 신도림동 692 디큐브시티 ,190107.045415333,445157.626366229,백화점
아띠몽,"서울특별시 구로구 경인로43길 49, B동 1층 (고척동, 고척아이파크)",서울특별시 구로구 고척동 351 고척아이파크 ,187422.915003999,444002.704579788,백화점
프레시테이블 현대백화점 천호점,"서울특별시 강동구 천호대로 1005, 현대백화점 지2층 (천호동)",서울특별시 강동구 천호동 572 현대백화점,210929.919693661,448537.406728283,백화점
연리희재,"서울특별시 영등포구 영중로 15, 타임스퀘어 B1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
룰루요거트(웰거트),"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
연희양과점,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,191385.057392247,446098.555926507,백화점
베이크(BAKE),"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
언라토커피(UNRATO COFFEE),"서울특별시 영등포구 경인로 846, 롯데백화점 영등포점 5층 (영등포동)",서울특별시 영등포구 영등포동 618-496 영등포 민자역사 ,191741.345847708,445970.307641467,백화점
가족회관 타임스퀘어점,"서울특별시 영등포구 영중로 9, 신세계백화점 타임스퀘어점 지하1층 (영등포동4가)",서울특별시 영등포구 영등포동4가 434-5 신세계백화점 ,191581.500265536,446108.807192753,백화점
인생국수역전김밥,"서울특별시 영등포구 경인로 846, 영등포 민자역사 3층 (영등포동)",서울특별시 영등포구 영등포동 618-496번지 영등포 민자역사 3층 ,191741.345847708,445970.307641467,백화점
슐스타드,"서울특별시 영등포구 경인로 846, 롯데백화점영등포점 3층 (영등포동)",서울특별시 영등포구 영등포동 618-496번지 롯데백화점영등포점 3층 ,191741.345847708,445970.307641467,백화점
어니언수제어묵,"서울특별시 영등포구 경인로 846, 롯데백화점영등포점 지하1층 (영등포동)",서울특별시 영등포구 영등포동 618-496 롯데백화점영등포점 지하1층 ,191741.345847708,445970.307641467,백화점
앤드밀,"서울특별시 영등포구 여의대로 108, 더현대서울  지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
오크우드스모크하우스,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
서울만두 더현대서울점,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
쿡썹,"서울특별시 영등포구 선유로 138, 롯데마트 양평점 1층 (양평동3가)",서울특별시 영등포구 양평동3가 45 롯데마트 양평점 ,190352.321686588,447095.641206789,백화점
유부로 현대백화점 더현대서울점,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
아이엠바오 현대백화점 더현대서울점,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
요즘김밥,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
그래인스쿠키(Grains Cookie),"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
주식회사 한정선,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",서울특별시 영등포구 여의도동 22 파크원 ,193592.000380036,447092.629432527,백화점
