gu,bjd,apt_name_raw,apt_name_clean,matched_name,matched_addr,matched_road,lat,lng,match_level,query
관악구,봉천동,낙성대늘푸른,낙성대늘푸른,낙성대늘푸른2차아파트,서울 관악구 봉천동 1690-159,서울 관악구 남부순환로 1963,37.47600947056355,126.9670833545427,3,낙성대늘푸른 관악구 봉천동
관악구,남현동,성원나이스,성원나이스,성원나이스아파트,서울 관악구 남현동 602-189,서울 관악구 승방3가길 22,37.4729813343418,126.979818510358,3,성원나이스 관악구 남현동
관악구,봉천동,에메랄드105동,에메랄드,에메랄드아파트,서울 관악구 봉천동 41-253,서울 관악구 은천로34길 23,37.48571945755367,126.95317850449575,3,에메랄드 관악구 봉천동
관악구,남현동,솔본,솔본,솔본아파트,서울 관악구 남현동 1085-17,서울 관악구 남현1가길 42-3,37.47388553555007,126.97753012996424,3,솔본 관악구 남현동
관악구,남현동,관악산대창센시티,관악산대창센시티,관악산대창센시티아파트,서울 관악구 남현동 1137,서울 관악구 남현12길 21,37.47154184161238,126.97248442553403,3,관악산대창센시티 관악구 남현동
관악구,남현동,세종하이츠,세종하이츠,세종하이츠아파트,서울 관악구 남현동 1072-63,서울 관악구 남부순환로260길 77,37.473217769968,126.97269634377,3,세종하이츠 관악구 남현동
관악구,봉천동,하이캐슬,하이캐슬,하이캐슬아파트,서울 관악구 봉천동 1595-14,서울 관악구 관악로6길 21,37.475042621752365,126.95348588423673,3,하이캐슬 관악구 봉천동
관악구,신림동,윤정,윤정,윤정아파트,서울 관악구 신림동 546-7,서울 관악구 조원로14길 16,37.48297122407583,126.90949570946852,3,윤정 관악구 신림동
관악구,남현동,우평,우평,우평아파트,서울 관악구 남현동 1081-4,서울 관악구 남부순환로262길 37,37.47454557115025,126.9754938792773,3,우평 관악구 남현동
관악구,봉천동,쁘띠그린힐,쁘띠그린힐,쁘띠그린힐,서울 관악구 봉천동 957-6,서울 관악구 은천로 14,37.486133482357104,126.93676067055794,3,쁘띠그린힐 관악구 봉천동
관악구,봉천동,은선,은선,은선파인빌아파트,서울 관악구 봉천동 464-41,서울 관악구 중앙길 133,37.4863101122049,126.947902337685,3,은선 관악구 봉천동
관악구,신림동,앰팰리스아파트,앰팰리스아파트,앰팰리스아파트,서울 관악구 신림동 1743,서울 관악구 신림로 194,37.4746906002399,126.936633521043,3,앰팰리스아파트 관악구 신림동
관악구,남현동,양지네스코빌,양지네스코빌,양지네스코빌,서울 관악구 남현동 602-188,서울 관악구 승방3가길 16,37.473111130018104,126.9801146640864,3,양지네스코빌 관악구 남현동
