region,year,rank,feature,mean_abs_shap,pct
비강남,2023,6,department_nearest_m,0.03080463781952858,5.562105178833008
비강남,2023,7,hospital_general_nearest_m,0.02785850688815117,5.030149936676025
비강남,2023,8,층,0.027532635256648064,4.971310138702393
비강남,2023,9,cctv_count_500m,0.023788582533597946,4.295281887054443
비강남,2023,10,소비자물가지수,0.020999785512685776,3.791734457015991
비강남,2024,1,건물연령,0.12089056521654129,20.422855377197266
비강남,2024,2,subway_count_1000m,0.055040810257196426,9.298413276672363
비강남,2024,3,academy_count_1000m,0.053200893104076385,8.987584114074707
비강남,2024,4,childcare_count_1000m,0.04658668488264084,7.870201110839844
비강남,2024,5,subway_nearest_m,0.039014317095279694,6.5909504890441895
비강남,2024,6,hospital_general_nearest_m,0.03239667788147926,5.472988128662109
비강남,2024,7,department_nearest_m,0.02951066941022873,4.985435485839844
비강남,2024,8,cctv_count_500m,0.025447912514209747,4.299086570739746
비강남,2024,9,층,0.025310108438134193,4.275806427001953
비강남,2024,10,hospital_count_1000m,0.022320421412587166,3.770738363265991
비강남,2025,1,건물연령,0.12836040556430817,19.934194564819336
비강남,2025,2,subway_count_1000m,0.06255310028791428,9.714409828186035
비강남,2025,3,academy_count_1000m,0.060548391193151474,9.403081893920898
비강남,2025,4,childcare_count_1000m,0.05428289994597435,8.430059432983398
비강남,2025,5,subway_nearest_m,0.04144519567489624,6.436382293701172
비강남,2025,6,hospital_general_nearest_m,0.033462706953287125,5.196712493896484
비강남,2025,7,department_nearest_m,0.03322530537843704,5.159843921661377
비강남,2025,8,cctv_count_500m,0.027277067303657532,4.236090660095215
비강남,2025,9,hospital_count_1000m,0.02554529719054699,3.967149257659912
비강남,2025,10,층,0.023838847875595093,3.7021403312683105
