구,행정동,거래건수,단지수,법정동수
성북구,월곡1동,1532,9,1
성북구,월곡2동,819,7,2
성북구,장위1동,259,4,1
성북구,장위2동,65,5,1
성북구,장위3동,1050,10,2
성북구,정릉1동,1738,11,2
성북구,정릉2동,817,12,1
성북구,정릉3동,34,4,1
성북구,정릉4동,1356,13,1
성북구,종암동,1743,16,1
송파구,가락1동,1513,16,1
송파구,가락2동,1615,31,1
송파구,가락본동,1150,34,2
송파구,거여1동,274,8,1
송파구,거여2동,1270,13,1
송파구,마천1동,126,5,1
송파구,마천2동,378,22,2
송파구,문정1동,676,21,2
송파구,문정2동,1542,8,1
송파구,방이1동,457,35,3
송파구,방이2동,318,35,2
송파구,삼전동,53,10,1
송파구,석촌동,317,20,2
송파구,송파1동,443,22,2
송파구,송파2동,1033,18,3
송파구,오금동,1489,48,2
송파구,오륜동,957,3,1
송파구,위례동,1532,13,2
송파구,잠실2동,2082,2,1
송파구,잠실3동,2115,4,1
송파구,잠실4동,1784,2,1
송파구,잠실6동,1090,12,1
송파구,잠실7동,200,3,2
송파구,잠실본동,469,10,1
송파구,장지동,1498,28,3
송파구,풍납1동,340,6,1
송파구,풍납2동,1180,21,1
양천구,목1동,1475,34,1
양천구,목2동,663,25,1
양천구,목3동,680,17,2
양천구,목4동,579,38,2
양천구,목5동,2129,18,2
양천구,신월1동,359,34,1
양천구,신월2동,1016,49,1
양천구,신월3동,185,16,1
양천구,신월4동,720,45,2
양천구,신월5동,250,21,1
양천구,신월6동,1105,20,1
양천구,신월7동,824,13,1
양천구,신정1동,1197,14,1
양천구,신정2동,918,19,2
양천구,신정3동,2407,36,2
양천구,신정4동,436,55,1
양천구,신정6동,1191,7,1
양천구,신정7동,1388,11,1
영등포구,당산1동,1160,14,4
영등포구,당산2동,2435,32,4
영등포구,대림1동,403,8,1
영등포구,대림2동,338,8,1
영등포구,대림3동,1268,17,2
영등포구,도림동,355,6,1
영등포구,문래동,1822,31,5
영등포구,신길1동,687,12,1
영등포구,신길3동,704,7,2
영등포구,신길4동,420,2,1
영등포구,신길5동,527,8,1
영등포구,신길6동,723,15,1
영등포구,신길7동,935,6,1
영등포구,양평1동,828,19,3
영등포구,양평2동,1360,20,5
영등포구,여의동,1915,27,2
