전용면적,층,건물연령,강남구분,초등학교수,중학교수,고등학교수,공원수,백화점수,기준금리,CD금리,소비자물가지수,M2
-10953.007,2556.6423,-12138.232,-8988.303,15806.393,-376.93707,2924.9282,5991.2134,636.81165,-1537.9921,-5076.1367,5129.3877,9514.895
-57757.7,-2944.4548,16715.729,-9749.535,-3256.3267,-2595.7615,396.83643,526.2068,-6362.102,830.8996,288.90906,-3670.5435,-6140.854
-28655.713,-2577.5146,-2448.5781,-9785.495,-6096.507,3022.3755,648.5327,1148.659,5710.115,-1519.7264,-3593.1724,4306.0376,8408.55
25618.25,1653.0972,-12149.412,-10625.737,3216.2883,-4831.729,-813.39886,-7916.2163,-5970.8296,527.8088,2188.8982,-4177.914,-3004.9185
18464.393,4563.68,48353.8,97326.03,17519.908,4865.5693,1013.91626,6261.3,13593.949,-1346.0394,75.2397,23608.074,16493.31
-21501.16,-8501.094,-10179.04,-6511.178,9927.75,-1682.5984,668.7642,3231.451,275.41766,851.30255,2381.195,2714.7349,7259.38
-9819.711,-6456.8364,-12613.644,-12321.105,-2607.1497,-3682.9854,1131.5284,830.7215,-9897.947,-1477.2355,-2980.5647,4526.5674,6741.314
-71561.234,828.58154,13374.761,-10040.977,3510.5432,-1936.3545,-2109.5276,-5200.158,-2833.28,100.55402,1120.7642,-5028.3623,-3143.3896
-2858.356,-1229.0227,-11023.089,-10213.066,1401.2112,2877.8352,-6102.5176,-4045.9272,-15592.743,-3153.6711,-2921.3777,606.2545,6489.9346
-5189.9736,-3165.1924,10356.653,-12545.945,-1504.7408,-1501.4778,632.41095,-4621.4243,-4024.5176,1676.9879,3409.7278,4043.8477,8244.452
-38767.23,845.3573,587.48206,-10650.914,-5433.0913,-9060.525,-148.84167,-80.99149,-3386.532,-1802.7997,-3925.5205,4216.042,4469.0264
2860.0684,-5244.1504,-10973.266,-10090.255,-1217.0707,-2137.4614,496.4627,-4505.6216,-2865.6619,949.72705,2118.665,-3716.4324,-1418.2297
50216.52,4099.3843,-8520.269,-8673.019,16825.254,38741.07,4465.4517,11845.071,11599.92,-1158.6796,406.28113,10209.94,11899.658
18071.918,-997.35376,-2390.9824,44954.48,-9736.075,-4871.6245,-1772.1473,935.5842,4763.1694,-309.02078,-3492.8726,-5711.7886,-14905.783
-65065.184,97.722015,8000.069,-9620.346,-3975.2056,-3096.4531,88.60323,-294.99326,-6173.838,421.60077,206.05804,-3230.403,-185.10147
126001.25,31333.633,5880.199,-31342.22,9437.844,5544.1577,-1807.8495,10514.024,29741.496,1069.0809,1553.9644,21707.834,29559.238
43906.496,-3660.906,18776.225,53354.81,-8929.144,-4254.021,-1025.6083,3756.795,10708.739,-1992.713,-454.18234,14514.695,11482.435
76484.58,16777.24,-12343.903,40797.535,-11753.19,-5528.494,-3305.881,2881.432,-5714.0684,-18.582806,1609.6741,-17341.033,-9505.629
-5558.184,3400.5525,-4724.473,-10988.039,-2657.9958,-8710.681,-14.008112,-6196.0845,-2861.2898,706.7875,890.83527,-4728.0303,-10031.898
