구,법정동,아파트명,행정동,구_spatial,행정동_spatial,adm_nm
마포구,연남동,광남벨라스(VALLACE),연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,노블레스(249-12),연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,노블레스빌(246-1),연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,노블레스빌2,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,노블레스빌3,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,대명,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,리츠,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,무지개에이,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,새마을,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,서암,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,엘르빌,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,엘르빌2,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,청기와,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,코오롱,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,홍익하이빌,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,연남동,휴먼,연남동,마포구,연남동,서울특별시 마포구 연남동
마포구,염리동,마포자이,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,마포자이더센트리지(102동~112동),염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,마포프레스티지자이,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,상록,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,염리동세양청마루아파트101동,염리동,마포구,용강동,서울특별시 마포구 용강동
마포구,염리동,염리삼성래미안,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,우공,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,우리파크아파트,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,유풍,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,염리동,중앙하이츠,염리동,마포구,염리동,서울특별시 마포구 염리동
마포구,용강동,대림2차,용강동,마포구,용강동,서울특별시 마포구 용강동
마포구,용강동,대호강변,용강동,마포구,용강동,서울특별시 마포구 용강동
마포구,용강동,두영,용강동,마포구,용강동,서울특별시 마포구 용강동
마포구,용강동,래미안마포리버웰,용강동,마포구,용강동,서울특별시 마포구 용강동
마포구,용강동,마포대림1,용강동,마포구,망원1동,서울특별시 마포구 망원1동
마포구,용강동,마포용강삼성래미안,용강동,마포구,용강동,서울특별시 마포구 용강동
마포구,용강동,이편한세상마포리버파크,용강동,마포구,용강동,서울특별시 마포구 용강동
마포구,중동,DMC마포청구아파트,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,강림월드타운,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,건영월드컵,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,동원월드타운,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,마포중동현대,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,백명TRENDYAPT,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,수풍,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,예원,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,울트라월드컵(참누리),성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,중동계룡아파트,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,중동,현대,성산2동,마포구,성산2동,서울특별시 마포구 성산2동
마포구,창전동,대원파크빌,서강동,마포구,서강동,서울특별시 마포구 서강동
